Generation,Lifetime Over 900 Cycle,Total Occumation Grade,Occupation Block of 5 Grade,Created Process Grade,Alive Process Grade,Bombing Freq Grade
2553,901,529,7,123,88,2.8333333333333335
2554,901,0,0,172,120,0.0
2555,901,528,40,117,81,4.0
2556,901,528,41,117,81,4.0
2557,901,528,40,117,81,4.0
2558,901,0,0,106,79,0.0
2559,901,0,0,121,97,0.0
2560,901,0,0,117,92,0.0
2561,901,538,40,130,89,4.277777777777778
2562,901,538,39,130,89,4.277777777777778
2563,901,171,20,205,51,7.111111111111111
2564,901,548,42,139,90,4.388888888888889
2565,901,534,44,140,100,4.611111111111111
2566,901,548,35,144,109,4.944444444444445
2567,96,0,0,1,0,0.0
2568,901,117,19,210,119,4.722222222222222
2569,901,134,25,190,97,7.777777777777778
2570,901,0,0,170,86,0.0
2571,901,0,0,201,157,0.0
2572,901,167,21,268,163,5.722222222222222
2573,901,210,31,218,115,10.666666666666666
2574,901,210,32,218,115,10.666666666666666
2575,901,0,0,239,137,0.0
2576,194,0,0,38,0,0.0
2577,901,0,0,11,9,0.0
2578,901,129,21,265,144,7.166666666666667
2579,901,135,27,244,118,8.5
2580,901,138,27,268,161,7.444444444444445
2581,901,138,22,268,161,7.444444444444445
2582,901,117,16,244,125,8.222222222222221
2583,901,123,24,240,125,6.888888888888889
2584,901,157,25,214,128,5.833333333333333
2585,901,157,23,214,128,5.833333333333333
2586,901,123,24,240,125,6.888888888888889
2587,901,123,19,240,125,6.888888888888889
2588,901,123,24,240,125,6.888888888888889
2589,901,193,21,314,226,9.333333333333334
2590,901,0,0,286,240,0.0
2591,901,125,25,286,240,11.0
2592,901,0,0,149,91,0.0
2593,901,119,9,307,172,6.666666666666667
2594,901,0,0,235,154,0.0
2595,901,136,21,76,27,3.6666666666666665
2596,901,143,20,237,175,6.166666666666667
2597,901,142,23,265,180,8.555555555555555
2598,901,304,31,123,100,4.888888888888889
2599,901,142,17,265,180,8.555555555555555
2600,901,130,15,283,216,9.0
2601,901,131,16,282,220,8.944444444444445
2602,901,0,0,133,22,0.0
2603,901,121,14,297,223,8.833333333333334
2604,901,148,18,291,213,9.277777777777779
2605,901,0,0,257,200,0.0
2606,901,0,0,344,128,0.0
2607,901,0,0,254,173,0.0
2608,901,0,0,314,141,0.0
2609,901,0,0,202,98,0.0
2610,901,166,15,231,161,5.722222222222222
2611,901,166,24,231,161,5.722222222222222
2612,901,166,24,231,161,5.722222222222222
2613,901,166,25,231,161,5.722222222222222
2614,901,0,0,225,146,0.0
2615,901,167,23,222,146,5.777777777777778
2616,901,166,21,224,145,5.777777777777778
2617,901,164,22,225,146,5.611111111111111
2618,901,166,21,224,145,5.777777777777778
2619,901,0,0,319,231,0.0
2620,901,0,0,173,106,0.0
2621,901,170,23,233,149,6.666666666666667
2622,901,199,27,209,113,9.722222222222221
2623,901,217,24,325,214,9.0
2624,901,123,26,264,178,9.88888888888889
2625,901,209,18,267,137,8.444444444444445
2626,901,202,28,316,222,9.166666666666666
2627,901,0,0,337,233,0.0
2628,901,115,21,314,239,5.222222222222222
2629,901,0,0,239,153,0.0
2630,901,201,31,286,183,12.5
2631,901,172,24,351,268,8.11111111111111
2632,901,172,24,351,268,8.11111111111111
2633,901,172,25,351,268,8.11111111111111
2634,901,0,0,316,219,0.0
2635,901,172,25,351,268,8.11111111111111
2636,901,172,25,351,268,8.11111111111111
2637,901,172,24,351,268,8.11111111111111
2638,901,172,23,351,268,8.11111111111111
2639,901,149,18,298,184,6.777777777777778
2640,901,158,20,293,268,6.222222222222222
2641,901,158,29,293,268,6.222222222222222
2642,901,147,28,292,284,7.666666666666667
2643,901,0,0,231,214,0.0
2644,901,147,27,292,284,7.666666666666667
2645,901,0,0,314,243,0.0
2646,901,181,12,320,233,5.5
2647,901,176,26,324,245,5.222222222222222
2648,901,164,26,262,172,7.0
2649,901,0,0,192,189,0.0
2650,901,187,24,279,201,6.0
2651,901,157,26,262,148,6.277777777777778
2652,901,157,26,262,148,6.277777777777778
2653,901,138,20,262,206,4.166666666666667
2654,901,141,28,300,228,5.277777777777778
2655,901,0,0,246,122,0.0
2656,901,0,0,212,121,0.0
2657,901,133,20,316,251,4.444444444444445
2658,901,160,18,301,204,4.277777777777778
2659,901,0,0,320,280,0.0
2660,901,125,22,330,239,4.166666666666667
2661,901,0,0,126,69,0.0
2662,901,207,28,388,288,5.666666666666667
2663,901,193,24,439,357,4.888888888888889
2664,901,178,22,421,350,5.277777777777778
2665,901,208,10,381,282,5.555555555555555
2666,901,232,24,422,380,4.444444444444445
2667,901,222,24,395,346,4.777777777777778
2668,901,232,24,422,380,4.444444444444445
2669,901,0,0,0,1,0.0
2670,901,218,22,562,551,3.4444444444444446
2671,901,470,32,526,527,0.0
2672,901,470,1,526,527,0.0
2673,901,470,33,526,527,0.0
2674,901,467,33,528,529,0.05555555555555555
2675,901,470,32,526,527,0.0
2676,901,467,32,478,479,0.05555555555555555
2677,901,0,0,190,27,0.0
2678,901,215,15,340,278,12.055555555555555
2679,901,0,0,204,136,0.0
2680,901,467,1,528,529,0.05555555555555555
2681,901,467,32,528,529,0.05555555555555555
2682,901,0,0,196,129,0.0
2683,901,432,34,167,128,3.7777777777777777
2684,901,681,46,196,129,0.1111111111111111
2685,901,682,6,195,128,0.1111111111111111
2686,901,0,0,175,116,0.0
2687,901,681,11,196,129,0.1111111111111111
2688,901,0,0,60,60,0.0
2689,901,265,19,333,15,0.1111111111111111
2690,901,101,9,60,60,0.3888888888888889
2691,901,687,18,202,144,0.1111111111111111
2692,901,687,47,202,144,0.1111111111111111
2693,901,0,0,237,153,0.0
2694,901,687,45,202,144,0.1111111111111111
2695,901,0,0,193,140,0.0
2696,901,0,0,193,141,0.0
2697,901,662,45,174,116,0.0
2698,901,705,48,225,161,0.0
2699,901,691,46,193,140,0.0
2700,901,691,47,193,140,0.0
2701,901,0,0,224,160,0.0
2702,901,691,47,193,140,0.0
2703,901,0,0,298,9,0.0
2704,4,100,8,1,1,0.0
2705,901,646,43,257,258,0.0
2706,901,646,44,257,258,0.0
2707,901,646,44,257,258,0.0
2708,901,646,43,257,258,0.0
2709,12,101,7,2,1,0.0
2710,901,99,7,41,42,0.0
2711,901,0,0,273,213,0.0
2712,901,265,19,306,174,0.0
2713,901,0,0,287,234,0.0
2714,901,194,15,386,301,4.944444444444445
2715,901,192,26,381,302,5.166666666666667
2716,901,0,0,401,335,0.0
2717,901,0,0,0,1,0.0
2718,901,175,8,197,120,11.833333333333334
2719,901,175,19,197,120,11.833333333333334
2720,901,132,23,370,216,6.777777777777778
2721,901,0,0,366,204,0.0
2722,901,129,23,366,213,6.722222222222222
2723,10,0,0,2,0,0.0
2724,901,0,0,284,262,0.0
2725,901,0,0,236,210,0.0
2726,901,0,0,427,413,0.0
2727,901,0,0,267,75,0.0
2728,901,114,20,427,413,3.111111111111111
2729,901,0,0,141,111,0.0
2730,901,0,0,122,62,0.0
2731,901,122,9,223,88,2.8333333333333335
2732,901,120,18,284,210,3.4444444444444446
2733,901,0,0,106,43,0.0
2734,901,0,0,224,99,0.0
2735,901,0,0,377,35,0.0
2736,901,323,22,449,163,0.0
2737,901,315,21,465,191,0.0
2738,901,99,1,318,209,0.0
2739,901,315,1,465,191,0.0
2740,901,0,0,696,576,0.0
2741,901,177,13,693,571,0.0
2742,901,355,1,376,38,0.0
